"id","reportid","eqpt_type","mass","type","bunker_lot_id"
16915158,"97394437-615b-417d-8b32-87264eb5f943","aux_engines_total","8.600000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16915159,"97394437-615b-417d-8b32-87264eb5f943","main_engines_total","33.000000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16915032,"9ee96d9e-9939-436b-ad89-a8f19d2eb9c8","aux_engines_total","0.700000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16915033,"9ee96d9e-9939-436b-ad89-a8f19d2eb9c8","boilers_total","0.200000","mgo","ed742ebe-f93f-47c4-bd24-19bd50573330"
16910172,"53cfc0b0-9790-45c2-8c99-2977d76b1be6","aux_engines_total","1.500000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16910173,"53cfc0b0-9790-45c2-8c99-2977d76b1be6","boilers_total","1.000000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
16917583,"d808f1ab-60d9-4598-a926-c251c84e6eb5","aux_engines_total","2.800000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16917584,"d808f1ab-60d9-4598-a926-c251c84e6eb5","main_engines_total","21.000000","lfo","f436c178-6a22-4a6e-bf9d-c551d547bf6e"
16915529,"21165ae7-e709-429c-bf97-9ee209003e6e","aux_engines_total","5.200000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
16915530,"21165ae7-e709-429c-bf97-9ee209003e6e","main_engines_total","33.800000","hfo","924ac90d-8b5b-40c0-bcb9-c7a7a03bc7cf"
18045979,"3623ce16-4681-4398-8f04-30e0ea8edc9f","aux_engines_total","4.000000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
18045980,"3623ce16-4681-4398-8f04-30e0ea8edc9f","boilers_total","2.000000","mgo","b4c37b85-971b-477a-b734-6f801b720af0"
18045850,"ca10f833-2c4e-451d-8904-26aea6932710","aux_engines_total","3.400000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
18045851,"ca10f833-2c4e-451d-8904-26aea6932710","main_engines_total","13.600000","lfo","9d73f9b7-a2a4-468c-86b1-a716d4ff2396"
17648588,"412c4925-d4a8-422c-b3a2-bef360031c56","aux_engines_total","4.800000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17648589,"412c4925-d4a8-422c-b3a2-bef360031c56","main_engines_total","32.100000","hfo","400fcb2b-cd14-4822-963d-af7d70fa62b2"
17985443,"e23d6373-1c0d-4ee8-ac97-7373375cf14d","aux_engines_total","1.500000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17985444,"e23d6373-1c0d-4ee8-ac97-7373375cf14d","main_engines_total","4.000000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17985445,"e23d6373-1c0d-4ee8-ac97-7373375cf14d","boilers_total","0.200000","mgo","f216094d-74c5-436e-a9ba-a9838d5c50ae"
17985940,"ac745b94-93b1-4de4-8d0d-71c6645c7553","aux_engines_total","7.100000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17985941,"ac745b94-93b1-4de4-8d0d-71c6645c7553","boilers_total","1.800000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17985974,"ec903015-7434-44d3-bba5-0c22d37cc1f2","aux_engines_total","0.500000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
17985975,"ec903015-7434-44d3-bba5-0c22d37cc1f2","main_engines_total","0.900000","lfo","8d0ef3a6-1018-4378-a925-ed45c502bf4b"
17985976,"ec903015-7434-44d3-bba5-0c22d37cc1f2","main_engines_total","1.700000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
17985977,"ec903015-7434-44d3-bba5-0c22d37cc1f2","boilers_total","0.200000","hfo","7209d445-519d-4bd0-b7dc-663899dfaf29"
