meta_type,voyage_phase,local,utc,user_delay,corrections_sent,app_version_used,platform,duration_since_last,position,voyage_number,port_departure,port_arrival,true_heading,reported_sog,reported_stw,distance_over_ground_since_last_report,distance_through_water_since_last_report,distance_to_go,slip_nominal,slip_apparent,propellers_1_avg_rpm,sog,stw,wind_speed,wind_direction,wave_height,swell_height,swell_direction,current_speed,current_direction,dry_bulb_temperature,wet_bulb_temperature,barometric_pressure,sea_water_temperature,sea_water_specific_gravity,speed_wind_true,height_wave,current,current_longitudinal,main_engines_1_operating_hours,main_engines_1_steamtime_hours,main_engines_1_avg_power,main_engines_1_cylinder_consumption,main_engines_1_circulating_consumption,main_engines_sulphur_content_avg,main_engines_total_mass_hfo,main_engines_total_mass_lfo,main_engines_total_mass_mgo,main_engines_total_operating_hours,aux_engines_1_operating_hours,aux_engines_1_avg_power,aux_engines_1_circulating_consumption,aux_engines_2_operating_hours,aux_engines_2_avg_power,aux_engines_2_circulating_consumption,aux_engines_3_operating_hours,aux_engines_3_avg_power,aux_engines_3_circulating_consumption,aux_engines_total_operating_hours,aux_engines_total_mass_hfo,aux_engines_total_mass_lfo,aux_engines_total_mass_mgo,aux_engine_sulphur_content_avg,cargo_cooling_operating_hours_ae,cargo_cooling_fuel_consumption_ae,boilers_1_operating_hours,boilers_total_operating_hours,boilers_total_mass_hfo,boilers_total_mass_lfo,boilers_total_mass_mgo,boiler_sulphur_content_avg,gas_combustion_units_1_operating_hours,gas_combustion_units_1_mass_mgo,compressors_1_operating_hours,compressors_1_avg_power,compressors_1_mass_lfo,compressors_1_mass_mgo,compressors_2_operating_hours,compressors_2_avg_power,compressors_3_operating_hours,compressors_3_avg_power,unknown_1_operating_hours,unknown_1_mass_mgo,unknown_1_mass_lfo,unknown_1_mass_hfo,re_liquefaction_plant_1_operating_hours,re_liquefaction_plant_2_operating_hours,re_liquefaction_plant_3_operating_hours,re_liquefaction_plant_total_quantity,liquid_fresh_water_remaining,liquid_fresh_water_consumed,liquid_fresh_water_produced,liquid_fresh_water_operating_hours,fuel_rob_mass_hfo,fuel_rob_mass_lfo,fuel_rob_mass_mdo,fuel_rob_mass_mgo,me_cylinder_oil_rob,me_circulating_oil_rob,ae_circulating_oil_rob,draft_aft,draft_fore,trim,cargo_dwt,transverse_metacentric_height,cargo_total_mass,cargo_volume,bunkering_1_fuel_type,bunkering_1_bdn_number,bunkering_1_mass_change_bdn,bunkering_1_mass_change,bunkering_1_grade,bunkering_1_density,bunkering_1_viscosity,bunkering_1_sulphur,bunkering_1_calorific_value,bunkering_2_fuel_type,bunkering_2_bdn_number,bunkering_2_mass_change_bdn,bunkering_2_mass_change,bunkering_2_grade,bunkering_2_density,bunkering_2_viscosity,bunkering_2_sulphur,bunkering_2_calorific_value,bunkering_3_fuel_type,bunkering_3_bdn_number,bunkering_3_mass_change_bdn,bunkering_3_mass_change,bunkering_3_grade,bunkering_3_density,bunkering_3_viscosity,bunkering_3_sulphur,leg_type,leg_purpose,leg_number,instructions,eta_pilot,rta_pilot,vessel_status,performance_data_status,comment,leggingProblems,actions
"report_position_in_port","In port","2023-09-01 12:00 +08:00","2023-09-01 04:00","null","2","2.5.773","Desktop","20:00","32° 00.00' N 120° 27.00' E","46","CNQZH","CNZJG","","0","","0","","","","","0","0.41952","0.4017946","","","","","","","","","","","","","6.187932","null","null","null","00:00","00:00","0","","","","","","","00:00","00:00","0","","20:00","850","","17:00","850","","37:00","","","7.1","","","","17:00","17:00","","","1.4","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","66.895","0","186.20000000000002","68437","37894.8","10074.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","cargo","1","||","","","Port","berth","vessel in port","",""
"report_position_in_port","In port","2023-09-02 12:00 +08:00","2023-09-02 04:00","null","2","2.5.773","Desktop","24:00","32° 00.00' N 120° 27.00' E","46","CNQZH","CNZJG","","0","","0","","","","","0","8.619301","10.81986","","","","","","","","","","","","","7.759014","null","null","null","00:00","00:00","0","","","","","","","00:00","00:00","0","","23:00","750","5","23:00","750","5","46:00","","","6.3","","","","19:00","19:00","","","1.9","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","66.895","0","178","68437","37894.8","10064.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","cargo","1","||","","","Port","berth","vessel in port","",""
"report_departure: departure","In port","2023-09-02 13:54 +08:00","2023-09-02 05:54","null","2","2.5.773","Desktop","01:54","32° 00.00' N 120° 27.00' E","47","CNZJG","SGSIN","","0","","0","","2476","","","","null","null","","","","","","","","","","","","1","null","null","null","null","00:00","00:00","0","","","","","","","00:00","00:00","0","","01:54","750","5","00:00","0","","01:54","","","0.2","","","","01:00","01:00","","","0.1","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","66.895","0","177.7","68437","37894.8","10059.4","7.9","5.9","","16860","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Port","berth","vessel departing port","",""
"report_position: sea_passage_begin","Maneuvering","2023-09-03 03:06 +08:00","2023-09-02 19:06","null","1","2.5.773","Desktop","13:12","30° 58.00' N 122° 38.00' E","47","CNZJG","SGSIN","91","10.606060606060607","10.606060606060607","140","140","2336","-25.405792258128578","-25.405792258128578","58.3","10.72342","11.56752","12","0","1","1","0","0","0","29","28","1007","29","1.025","9.299366","1.798073","-0.29743","-0.259026","13:12","09:54","4450","65","30","","","","9.9","13:12","01:00","750","0.1","13:00","750","2.6","13:00","750","2.6","27:00","","","2.6","","","","02:00","02:00","","","0.2","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","66.895","0","165","68372","37864.8","10054.1","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","river","vessel departed","",""
"report_position","At sea","2023-09-03 12:00 +08:00","2023-09-03 04:00","null","3","2.5.773","Desktop","08:54","29° 26.00' N 123° 42.00' E","47","CNZJG","SGSIN","167","15.280898876404494","15.775280898876405","136","140.4","2200","5.272481417785126","2.2077675813017033","83.4","15.3849","13.79842","17","90","2","2","90","0.5","45","29","28","1008","29","1.025","5.924313","1.835592","1.542655","1.598301","08:54","08:54","6994","80","40","","","10.9","","08:54","00:00","0","","08:00","750","5","08:00","750","5","16:00","","2.5","","","12:00","1","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","53.495","0","165","68292","37824.8","10044.1","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","vessel proceeding to sgp","",""
"report_position","At sea","2023-09-04 12:00 +08:00","2023-09-04 04:00","null","4","2.5.773","Desktop","24:00","23° 55.00' N 123° 02.00' E","47","CNZJG","SGSIN","201","14.5","15.5","348","372","1852","9.571197121700065","3.3347279576793802","82.9","14.31372","15.18173","19","90","2","2","90","1","45","29","27","1008","29","1.025","20.30797","2.606275","-0.8863025","-0.8245557","24:00","24:00","7677","210","80","","","31.5","","24:00","00:00","0","","01:00","750","","23:00","750","","24:00","","3.626","","","","","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","550.331","18.369","0","165","68082","37744.8","10044.1","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","vessel proceeding to sgp","",""
"report_position","At sea","2023-09-05 12:00 +08:00","2023-09-05 04:00","null","2","2.5.773","Desktop","24:00","20° 02.00' N 119° 09.00' E","47","CNZJG","SGSIN","220","14.791666666666666","15.583333333333334","355","374","1497","7.640816594934202","2.697649032409554","82.8","15.08974","15.885","17","180","2","2","180","0.8","45","30","29","1007","29","1.025","14.00743","2.033919","-0.8728215","-0.8692566","24:00","24:00","7704","220","85","","31.9","","","24:00","00:00","0","","24:00","750","5","00:00","0","","24:00","","4.2","","","00:00","0","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-164","","","","518.431","14.169","0","165","67862","37659.8","10039.1","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","vessel Proceeding at full speed as per charterer's instruction ","",""
"report_position","At sea","2023-09-06 12:00 +08:00","2023-09-06 04:00","null","2","2.5.773","Desktop","24:00","15° 27.00' N 115° 03.00' E","47","CNZJG","SGSIN","220","15.625","15.916666666666666","375","382","1122","4.173470177692245","2.3847082876758336","84.3","15.32051","15.69863","16","180","2","2","180","0.3","45","29","28","1007","29","1.025","12.775","1.5325","-0.4158589","-0.4104535","24:00","24:00","8027","220","85","","19.461","13.939","","24:00","05:00","950","1","21:00","950","4.2","03:00","950","0.6","29:00","5","","","","24:00","1.09","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-156","","18","","493.97","0.23","0","165","67642","37574.8","10033.3","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","","",""
"report_position","At sea","2023-09-07 12:00 +08:00","2023-09-07 04:00","null","2","2.5.773","Desktop","24:00","10° 46.00' N 111° 01.00' E","47","CNZJG","SGSIN","220","15.666666666666666","15.958333333333334","376","383","746","3.2291724262294084","1.427587870334743","83.7","14.71752","16.06251","16","180","2","2","180","0.3","180","29","28","1007","29","1.025","13.26186","0.9182826","-1.369472","-1.35992","24:00","24:00","7845","215","85","","32.4","","","24:00","00:00","0","","00:00","0","","24:00","850","5","24:00","4.5","","0.1","","00:00","0","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-146","","18","","457.07","0.23","0","164.9","67427","37489.8","10028.3","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","","",""
"report_position","At sea","2023-09-08 12:00 +08:00","2023-09-08 04:00","null","2","2.5.773","Desktop","24:00","6° 05.57' N 107° 12.37' E","47","CNZJG","SGSIN","223.9","15.583333333333334","16","374","384","372","4.655211122881788","2.1058852170764877","84.5","15.09282","15.93231","14","180","2","2","180","0.4","45","29","28","1010","29","1.025","12.56191","0.8615572","-0.834632","-0.8358294","24:00","24:00","8064","220","85","","33.1","","","24:00","03:00","950","0.6","01:00","750","0.2","21:00","950","4.9","25:00","5","","0.1","","24:00","0.99","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-141","","18","","418.97","0.23","0","164.8","67207","37404.8","10022.6","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","vessel Proceeding at full speed as per charterer's instructions ","",""
"report_position: sea_passage_end","At sea","2023-09-09 06:12 +08:00","2023-09-08 22:12","null","4","2.5.773","Desktop","18:12","2° 01.35' N 104° 50.63' E","47","CNZJG","SGSIN","205.4","15.714285714285715","16.0989010989011","286","293","86","4.643926380441603","2.3100364666761877","85.2","15.75922","15.99044","16","135","2","2","135","0.4","45","29","28","1010","29","1.025","7.938273","0.4521729","-0.2480588","-0.2582671","18:12","18:12","7625","180","70","","25.1","","","18:12","03:00","750","0.8","18:00","750","3.9","00:00","0","","21:00","3.8","","0.1","","03:00","0.3","00:00","00:00","","","","","","","00:00","","","","","","","","00:00","","","","00:00","00:00","00:00","0","-132","","14","","390.07","0.23","0","164.7","67027","37334.8","10017.9","7.9","5.9","2","16860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ocean","ballast","1","sog|16|charterparty","2023-09-09 15:00 +08:00","","Sailing (no stop since last report)","sea","vessel arriving Singapore ","",""
